Compound,SampID,Area,blk.threshold,min.area.flag,blk.ratio.flag,slope,nM_in_vial
CN-B12,241121_Smp_UCYNA_Z-19,99270,11338,NA,NA,1565371.0074962522,0.06341627609340891
CN-B12,241121_Smp_UCYNA_Z-20,96728,11338,NA,NA,1565371.0074962522,0.06179237991299746
CN-B12,241121_Smp_UCYNA_Z-21,1119,11338,Flag,Flag,1565371.0074962522,7.148465090009527e-4
CN-B12,241121_Smp_UCYNA_Z-22,161505,11338,NA,NA,1565371.0074962522,0.10317362416103562
CN-B12,241121_Smp_UCYNA_Z-23,145138,11338,NA,NA,1565371.0074962522,0.09271795587433447
CN-B12,241121_Smp_UCYNA_Z-24,142392,11338,NA,NA,1565371.0074962522,0.09096373915072713
CN-B12,241121_Smp_UCYNA_Z-25,357,11338,Flag,Flag,1565371.0074962522,2.2806095059279722e-4
CN-B12,241121_Smp_UCYNA_Z-26,5,11338,Flag,Flag,1565371.0074962522,3.1941309606834346e-6
CN-B12,241121_Smp_UCYNA_Z-27,0,11338,Flag,Flag,1565371.0074962522,0
CN-B12,241121_Smp_UCYNA_Z-28,24,11338,Flag,Flag,1565371.0074962522,1.5331828611280487e-5
CN-B12,241121_Smp_UCYNA_Z-29,740,11338,Flag,Flag,1565371.0074962522,4.727313821811483e-4
CN-B12,241121_Smp_UCYNA_Z-30,893,11338,Flag,Flag,1565371.0074962522,5.704717895780615e-4
CN-B12,241121_Smp_UCYNA_Z-31,3156,11338,Flag,Flag,1565371.0074962522,0.002016135462383384
CN-B12,241121_Smp_UCYNA_Z-32,2364,11338,Flag,Flag,1565371.0074962522,0.001510185118211128
CN-B12,241121_Smp_UCYNA_Z-33,2097,11338,Flag,Flag,1565371.0074962522,0.0013396185249106324
CN-B12,241121_Smp_UCYNA_Z-34,2955,11338,Flag,Flag,1565371.0074962522,0.0018877313977639098
CN-B12,241121_Smp_UCYNA_Z-35,115,11338,Flag,Flag,1565371.0074962522,7.3465012095719e-5
CN-B12,241121_Smp_UCYNA_Z-36,1241,11338,Flag,Flag,1565371.0074962522,7.927833044416285e-4
CN-B12,241121_Smp_UCYNA_Z-37,19,11338,Flag,Flag,1565371.0074962522,1.2137697650597051e-5
CN-B12,241121_Smp_UCYNA_Z-38,37,11338,Flag,Flag,1565371.0074962522,2.3636569109057415e-5
CN-B12,241121_Smp_UCYNA_Z-39,82,11338,Flag,Flag,1565371.0074962522,5.238374775520833e-5
CN-B12,241121_Smp_UCYNA_Z-40,838,11338,Flag,Flag,1565371.0074962522,5.353363490105436e-4
CN-B12,241121_Smp_UCYNA_Z-41,14,11338,Flag,Flag,1565371.0074962522,8.9435666899136165e-06
CN-B12,241121_Smp_UCYNA_Z-42,707,11338,Flag,Flag,1565371.0074962522,4.5165011784063764e-4
CN-Pseudocob,241121_Std_0nM_UCYNA_B12_1,16,1715,Flag,Flag,-4.85832083958021,-3.2933189322635394
CN-Pseudocob,241121_Std_0nM_UCYNA_B12_2,20,1715,Flag,Flag,-4.85832083958021,-4.116648665329425
CN-Pseudocob,241121_Std_1nM_UCYNA_B12_1,36,1715,Flag,Flag,-4.85832083958021,-7.409967597592964
